athleteId,hand,rank
1427,R,
1455,L,145.0
1458,L,
1487,L,239.0
1510,L,638.0
1644,R,467.0
1660,R,677.0
1886,R,581.0
2117,R,
2224,R,48.0
2228,R,515.0
2594,R,
2607,R,698.0
2611,R,60.0
2636,R,
2660,R,
3913,R,891.0
4057,R,152.0
4081,R,29.0
4164,L,68.0
4202,R,297.0
4324,R,357.0
4405,R,203.0
4585,L,12.0
5302,R,
5452,R,42.0
5511,L,220.0
5898,R,
5917,R,671.0
6000,R,81.0
6194,R,
6433,R,88.0
6847,R,359.0
7227,R,347.0
7292,R,
7739,R,7.0
8195,R,466.0
8278,L,
8280,L,
8284,L,30.0
8613,R,311.0
8746,R,292.0
8793,R,
9109,R,153.0
9248,R,41.0
9309,R,
9367,R,75.0
9370,L,21.0
9377,L,3.0
9397,R,
9426,R,159.0
9460,,
9555,R,
9733,R,8.0
9746,L,4.0
9835,R,106.0
9904,R,420.0
9908,L,74.0
10145,R,5.0
10207,L,
10213,R,185.0
10222,L,18.0
10286,L,55.0
10485,R,126.0
10737,R,
10813,R,29.0
11066,R,85.0
11122,R,
11784,R,
12056,R,
12125,R,
12156,L,
12187,R,
12246,R,45.0
12256,R,
12343,R,26.0
12428,R,481.0
12470,R,
12529,R,57.0
12532,L,
12562,R,4.0
12590,R,
12591,L,
12626,R,213.0
12780,R,50.0
13090,R,419.0
13191,R,181.0
13452,R,116.0
13503,L,22.0
13577,R,451.0
13682,R,
13707,R,16.0
13709,R,38.0
13715,R,3.0
13741,R,12.0
13812,R,593.0
13888,R,174.0
13948,R,307.0
13949,R,488.0
14148,R,627.0
14212,R,
14397,R,12.0
14473,R,345.0
14477,R,757.0
14560,L,131.0
14581,L,
14714,R,73.0
14715,R,283.0
14920,R,
14957,L,81.0
14958,R,
14997,R,88.0
15098,L,45.0
15163,R,
15335,L,
15336,R,145.0
15353,R,114.0
15368,L,85.0
15467,R,508.0
15536,R,9.0
15542,R,177.0
15615,R,45.0
15780,R,337.0
15796,R,90.0
15804,R,429.0
15860,R,13.0
15918,R,
15941,R,
15984,L,
16021,R,
16054,R,
16063,R,
16105,,
16207,,
16280,R,
16371,R,
16436,R,
16463,R,36.0
16480,R,587.0
16774,L,155.0
16779,R,213.0
17052,L,115.0
17179,L,102.0
17203,R,
17449,R,38.0
17458,R,5.0
17481,R,9.0
17514,R,211.0
17547,R,
17583,R,
17622,L,346.0
17748,R,21.0
17756,R,49.0
17770,R,74.0
17823,R,46.0
17872,R,91.0
17929,R,30.0
18021,L,12.0
18023,R,204.0
18026,R,208.0
18031,L,27.0
18264,L,
18320,R,
18460,R,
18515,L,17.0
18576,R,97.0
18600,R,144.0
18673,R,40.0
18683,R,889.0
18720,R,283.0
18728,R,70.0
18732,R,228.0
18733,L,225.0
18774,,
18801,R,312.0
18861,L,22.0
18876,R,22.0
18881,L,188.0
18921,L,
18954,R,
18967,L,49.0
19090,R,396.0
19216,R,351.0
19240,R,
19243,R,57.0
19403,R,47.0
19507,L,98.0
19574,L,
19595,R,
19604,L,23.0
19616,R,889.0
19664,R,
19695,R,328.0
19820,R,27.0
19821,R,41.0
19856,R,3.0
19878,R,5.0
19926,L,37.0
19933,R,7.0
19968,R,51.0
20048,R,385.0
20135,R,346.0
20179,R,8.0
20181,R,55.0
20246,R,54.0
20382,R,206.0
20398,L,126.0
20433,L,91.0
20450,R,58.0
20451,R,
20461,R,
20488,,
20514,R,60.0
20538,R,
20610,R,308.0
20632,R,77.0
20708,R,406.0
20714,R,
20782,L,
20789,R,55.0
20823,L,657.0
20867,L,
20889,R,66.0
20897,R,
20903,R,
20938,R,100.0
20960,R,44.0
21004,R,
21017,R,331.0
21020,R,
21106,R,164.0
21164,R,
21179,L,
21208,L,34.0
21217,R,517.0
21253,R,787.0
21261,R,88.0
21409,L,510.0
21484,R,35.0
21499,R,30.0
21555,R,513.0
21581,L,217.0
21584,L,184.0
21621,L,21.0
21667,R,622.0
21705,R,48.0
21710,R,
21717,R,1.0
21729,R,253.0
21745,,
21765,,
21767,R,29.0
21807,R,
21916,R,
21936,L,
21958,R,8.0
21966,L,15.0
21978,R,389.0
22011,R,415.0
22023,R,50.0
22030,R,363.0
22043,R,108.0
22072,R,152.0
22095,R,
22119,R,624.0
22252,R,11.0
22256,L,70.0
22285,R,16.0
22329,R,
22390,R,370.0
22401,R,190.0
22435,R,97.0
22439,L,1.0
22449,R,24.0
22540,R,232.0
22555,R,9.0
22557,R,
22559,R,9.0
22599,L,47.0
22660,L,
22831,R,214.0
22832,R,74.0
22877,R,
22887,R,
