season,competitionId,name,location,country,startDate,endDate,weapon,gender,hasResults
2011,244,Championnats du Monde,Catania,italy,10-10-2011,13-10-2011,foil,men,1
2011,242,Championnats du Monde,Catania,italy,09-10-2011,12-10-2011,epee,men,1
2011,246,Championnats du Monde,Catania,italy,09-10-2011,11-10-2011,sabre,men,1
2011,1027,26th Summer Universiade,Shenzhen,china,15-08-2011,15-08-2011,foil,men,0
2011,1024,26th Summer Universiade,Shenzhen,china,13-08-2011,13-08-2011,sabre,men,0
2011,1025,26th Summer Universiade,Shenzhen,china,14-08-2011,14-08-2011,epee,men,0
2011,585,Championnats d'Afrique,Le Caire,egypt,21-07-2011,25-07-2011,epee,men,1
2011,587,Championnats d'Afrique,Le Caire,egypt,21-07-2011,25-07-2011,foil,men,1
2011,589,Championnats d'Afrique,Le Caire,egypt,21-07-2011,25-07-2011,sabre,men,1
2011,739,Championnats d'Europe,Sheffield,great britain,14-07-2011,19-07-2011,epee,men,1
2011,741,Championnats d'Europe,Sheffield,great britain,14-07-2011,19-07-2011,foil,men,1
2011,743,Championnats d'Europe,Sheffield,great britain,14-07-2011,19-07-2011,sabre,men,1
2011,798,Championnats Panaméricains,Reno - Nevada,usa,04-07-2011,09-07-2011,foil,men,1
2011,799,Championnats Panaméricains,Reno - Nevada,usa,04-07-2011,09-07-2011,epee,men,1
2011,802,Championnats Panaméricains,Reno - Nevada,usa,04-07-2011,09-07-2011,sabre,men,1
2011,1010,Championnats asiatiques,Séoul,korea,10-07-2011,10-07-2011,epee,men,1
2011,1012,Championnats asiatiques,Séoul,korea,09-07-2011,09-07-2011,foil,men,1
2011,1015,Championnats asiatiques,Séoul,korea,08-07-2011,08-07-2011,sabre,men,1
2011,474,Coupe du Monde,New York,usa,24-06-2011,25-06-2011,sabre,men,1
2011,111,Jockey Club Argentino,Buenos Aires,argentina,17-06-2011,18-06-2011,epee,men,1
2011,147,Copa Villa La Habana,La Havane,cuba,17-06-2011,18-06-2011,foil,men,1
2011,186,Cole Cup,Newcastle,great britain,18-06-2011,19-06-2011,sabre,men,1
2011,113,Grand Prix de Berne,Berne,switzerland,04-06-2011,05-06-2011,epee,men,1
2011,185,Tournoi satellite sabre masculin,Reykjavik,iceland,04-06-2011,05-06-2011,sabre,men,1
2011,134,Fleuret de St-Petersbourg,St-Petersbourg,russia,03-06-2011,04-06-2011,foil,men,1
2011,165,Sabre de Wolodyjowski,Varsovie,poland,04-06-2011,05-06-2011,sabre,men,1
2011,960,Aphrodite Cup 2009,Limassol,cyprus,28-05-2011,28-05-2011,epee,men,1
