Gender,Weapon,Season,Competition,Round,Fencer1 Name,Fencer1 Nation,Fencer1 Score,Fencer1 Winner,Fencer2 Name,Fencer2 Nation,Fencer2 Score,Fencer2 Winner,Referees
men,foil,2023,World Championships,A64,SCHEMBRI Kruz,ISV,8,False,BROSZUS Blake,CAN,15,True,"Ref KHALED Amr EGY, Video VILLENEUVE Charles FRA"
men,foil,2023,World Championships,A64,WAKIM Philippe,LBN,13,False,CHEN Yi-Tung,TPE,15,True,"Ref SUH Sangwon KOR, Video CHUA Eugene Wee Hong SGP"
men,foil,2023,World Championships,A64,ALVARES DE OLIVEIRA Victor,CPV,9,False,GU Daniel,CAN,15,True,"Ref MAGE Pascal FRA, Video ARMATA Gaspare ITA"
men,foil,2023,World Championships,A64,HEROUI Salim,ALG,8,False,JURKIEWICZ Jan,POL,15,True,"Ref BARDENHAGEN Tim GER, Video FERJANI Mohamed Ayoub TUN"
men,foil,2023,World Championships,A64,WOJTKOWIAK Adrian,POL,10,False,TOFALIDES Alex,CYP,15,True,"Ref DUCARME Florence FRA, Video MADR Vilem CZE"
men,foil,2023,World Championships,A32,MARINI Tommaso,ITA,15,True,BROSZUS Blake,CAN,9,False,"Ref WITKOWSKI Andrzej POL, Video CIVIERO-AIVANO Ambre SUI"
men,foil,2023,World Championships,A32,PAUTY Maxime,FRA,15,True,SHIKINE Takahiro,JPN,9,False,"Ref HUANG Hao Chih TPE, Video KOVRIJNYKH Andrei RSA"
men,foil,2023,World Championships,A32,IIMURA Kazuki,JPN,15,True,ABOUELKASSEM Alaaeldin,EGY,8,False,"Ref SUH Sangwon KOR, Video VARGA Katalin HUN"
men,foil,2023,World Championships,A32,KERYHUEL Jeremy Fafa,CIV,3,False,MASSIALAS Alexander,USA,15,True,"Ref HUANG Hao Chih TPE, Video MAGE Pascal FRA"
men,foil,2023,World Championships,A32,LEFORT Enzo,FRA,15,True,CHEN Yi-Tung,TPE,12,False,"Ref MADR Vilem CZE, Video KHALED Amr EGY"
men,foil,2023,World Championships,A32,CHEN Haiwei,CHN,7,False,MEINHARDT Gerek,USA,15,True,"Ref SUH Sangwon KOR, Video VARGA Katalin HUN"
men,foil,2023,World Championships,A32,MO Ziwei,CHN,15,True,TOLDO Guilherme,BRA,7,False,"Ref ARMATA Gaspare ITA, Video VILLENEUVE Charles FRA"
men,foil,2023,World Championships,A32,GU Daniel,CAN,5,False,CHEUNG Ka Long,HKG,15,True,"Ref WITKOWSKI Andrzej POL, Video KOVRIJNYKH Andrei RSA"
men,foil,2023,World Championships,A32,HAMZA Mohamed,EGY,15,True,JURKIEWICZ Jan,POL,14,False,"Ref ARMATA Gaspare ITA, Video TURDIKULOVA Dilorom UZB"
men,foil,2023,World Championships,A32,HA Taegyu,KOR,13,False,LLAVADOR Carlos,ESP,15,True,"Ref CHUA Eugene Wee Hong SGP, Video MAGE Pascal FRA"
men,foil,2023,World Championships,A32,MACCHI Filippo,ITA,15,True,XU Jie,CHN,10,False,"Ref FERJANI Mohamed Ayoub TUN, Video CIVIERO-AIVANO Ambre SUI"
men,foil,2023,World Championships,A32,MERTINE Julien,FRA,6,False,MATSUYAMA Kyosuke,JPN,15,True,"Ref BARDENHAGEN Tim GER, Video TURDIKULOVA Dilorom UZB"
men,foil,2023,World Championships,A32,CHOUPENITCH Alexander,CZE,15,True,SIESS Michal,POL,3,False,"Ref BARDENHAGEN Tim GER, Video DUCARME Florence FRA"
men,foil,2023,World Championships,A32,VAN HAASTER Maximilien,CAN,4,False,BIANCHI Guillaume,ITA,15,True,"Ref FERJANI Mohamed Ayoub TUN, Video KHALED Amr EGY"
men,foil,2023,World Championships,A32,DOSA Daniel,HUN,14,False,TOLBA Abdelrahman Hussein,EGY,15,True,"Ref CHUA Eugene Wee Hong SGP, Video DUCARME Florence FRA"
men,foil,2023,World Championships,A32,TOFALIDES Alex,CYP,10,False,ITKIN Nick,USA,15,True,"Ref MADR Vilem CZE, Video VILLENEUVE Charles FRA"
men,foil,2023,World Championships,A16,MARINI Tommaso,ITA,14,False,PAUTY Maxime,FRA,15,True,"Ref SUH Sangwon KOR, Video KOVRIJNYKH Andrei RSA"
men,foil,2023,World Championships,A16,IIMURA Kazuki,JPN,15,True,MASSIALAS Alexander,USA,8,False,"Ref FERJANI Mohamed Ayoub TUN, Video KHALED Amr EGY"
