Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Foil,2023,World Championships (Milan),24-07-2023,KREJCIK Jan,,R,ROBSON Samuel Elijah,64.0,R,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,YEUNG Chi Ka,143.0,R,KONTOCHRISTOPOULOS Nikolaos,181.0,R,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,VAN EGMOND Dirk Jan,383.0,R,REICHETZER Tobias,110.0,L,Loss,12,15
Men,Foil,2023,World Championships (Milan),24-07-2023,ROBIN Noe,57.0,L,YUNES Klod,114.0,R,Loss,7,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHOI Chun Yin Ryan,20.0,L,PIRK Akos,527.0,R,Won,15,9
Men,Foil,2023,World Championships (Milan),24-07-2023,ROSENFELD Roey Eliyahu,189.0,R,HEROUI Salim,109.0,L,Won,0,0
Men,Foil,2023,World Championships (Milan),24-07-2023,LAZARENKO Ievgen,271.0,R,EYUPOGLU Alp,214.0,R,Won,15,3
Men,Foil,2023,World Championships (Milan),24-07-2023,MURILLO DIAZ Jorge Eduardo,739.0,R,NIJS Mathieu,123.0,L,Loss,4,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHOI Nicholas Edward,55.0,R,COLGAN Thomas,881.0,R,Won,15,1
Men,Foil,2023,World Championships (Milan),24-07-2023,CHREN Simon,,R,NEMETH Andras,141.0,R,Loss,12,15
Men,Foil,2023,World Championships (Milan),24-07-2023,LEE Kwanghyun,32.0,R,HATOEL Maor,357.0,R,Won,15,3
Men,Foil,2023,World Championships (Milan),24-07-2023,ABBAS Ali Fadel,235.0,R,TOFALIDES Alex,70.0,L,Loss,9,15
Men,Foil,2023,World Championships (Milan),24-07-2023,GALUASHVILI Lasha,,R,KORKMAZ Alp Tuna,872.0,R,Won,15,12
Men,Foil,2023,World Championships (Milan),24-07-2023,UGULAVA Archil,,R,RZADKOWSKI Andrzej,102.0,R,Loss,6,15
Men,Foil,2023,World Championships (Milan),24-07-2023,BRICENO Jose,898.0,R,PRATS Mathieu Cheickh Jaques,99.0,R,Loss,9,15
Men,Foil,2023,World Championships (Milan),24-07-2023,LEAL Antonio J.,488.0,R,MARINO Nicolas,139.0,L,Loss,6,15
