athleteId,hand,rank
0,,
32769,R,
4098,L,
28678,R,
28679,R,
16390,R,
28684,R,
16397,R,
12306,R,
8211,R,
28694,R,
28695,R,
28697,R,
24611,R,
20527,L,
24641,R,
16465,R,
28754,R,
8278,L,
32865,R,
4204,R,
4092,L,
36978,R,
8311,L,
28792,R,
20603,R,
32891,L,
20620,R,
28814,R,
28819,R,
148,L,
4244,R,
4243,R,
24724,R,
24731,R,
32931,R,
37029,R,
41127,L,
20647,L,
16554,R,
41136,R,
24752,L,
12470,R,
37052,R,
12479,R,
4288,L,
28868,R,
4293,R,
24774,R,
4295,R,
28878,R,
24785,L,
32980,R,
20699,R,
12509,R,
37088,L,
28906,R,
4331,R,
28920,R,
33021,R,
28940,R,
33040,L,
20756,R,
41240,R,
4377,R,
33052,L,
24865,R,
37154,R,
16675,R,
12590,R,
24881,L,
33078,R,
37191,R,
20809,R,
24911,R,
33103,R,
29026,R,
37223,R,
33133,R,
29038,L,
4464,R,
4467,R,
33144,R,
8568,R,
4480,R,
16774,L,
16779,R,
12693,R,
41366,R,
33191,R,
33193,R,
37290,R,
29103,R,
29104,R,
33202,R,
29114,R,
37326,R,
16847,R,
25046,R,
25047,R,
37344,R,
33261,R,
12783,R,
12785,R,
41458,R,
41457,R,
41461,R,
41462,R,
29176,R,
25081,R,
25082,R,
41467,R,
12792,R,
25080,R,
41472,L,
29190,R,
21001,R,
37388,R,
41484,R,
37392,R,
21009,R,
41491,R,
41492,R,
41493,R,
25112,R,
29219,R,
25126,R,
25128,R,
25131,R,
25138,R,
8759,R,
25147,R,
41535,R,
29248,L,
25159,L,
37448,R,
25161,R,
41546,R,
21072,R,
8790,L,
25182,R,
41568,R,
41569,R,
25188,R,
41585,R,
21106,R,
21110,R,
41595,R,
41598,R,
4736,R,
41611,L,
25228,R,
29326,R,
33442,R,
33446,R,
37547,R,
21172,R,
21197,R,
25310,R,
4850,R,
8950,R,
33543,R,
33546,R,
33550,R,
13072,R,
37649,R,
33553,R,
29462,R,
25367,R,
37657,L,
37665,R,
8996,R,
37678,R,
21300,R,
25398,L,
37688,R,
4921,R,
33601,R,
4936,R,
25420,R,
37711,R,
37712,R,
13138,R,
17240,R,
4963,R,
25453,R,
33646,R,
37742,R,
25455,R,
37746,R,
29562,R,
13182,R,
37758,L,
37760,R,
17287,L,
