Competition ID,Competition Name,Location,Start Date,Weapon,Gender,Season
949,ME-IND (RANKING),RANKING,20-08-2008,Epee,Men,2008
950,WE-IND (RANKING),RANKING,20-08-2008,Epee,Women,2008
951,WF-IND (RANKING),RANKING,20-08-2008,Foil,Women,2008
952,MF-IND (RANKING),RANKING,20-08-2008,Foil,Men,2008
953,WS-IND (RANKING),RANKING,20-08-2008,Sabre,Women,2008
954,MS-IND (RANKING),RANKING,20-08-2008,Sabre,Men,2008
241,JO (Pekin),Pekin,13-08-2008,Epee,Women,2008
243,JO (Pekin),Pekin,11-08-2008,Foil,Women,2008
244,JO (Pekin),Pekin,13-08-2008,Foil,Men,2008
246,JO (Pekin),Pekin,12-08-2008,Sabre,Men,2008
242,JO (Pekin),Pekin,10-08-2008,Epee,Men,2008
245,JO (Pekin),Pekin,09-08-2008,Sabre,Women,2008
902,EM-IND (pekin),pekin,09-08-2008,Epee,Men,2008
917,EF-IND (pekin),pekin,09-08-2008,Epee,Women,2008
918,FF-IND (pekin),pekin,09-08-2008,Foil,Women,2008
919,FM-IND (pekin),pekin,09-08-2008,Foil,Men,2008
920,SF-IND (pekin),pekin,09-08-2008,Sabre,Women,2008
921,SM-IND (pekin),pekin,09-08-2008,Sabre,Men,2008
797,Championnats Panaméricains (Queretaro),Queretaro,08-07-2008,Epee,Women,2008
798,Championnats Panaméricains (Queretaro),Queretaro,08-07-2008,Foil,Men,2008
799,Championnats Panaméricains (Queretaro),Queretaro,08-07-2008,Epee,Men,2008
800,Championnats Panaméricains (Queretaro),Queretaro,08-07-2008,Foil,Women,2008
801,Championnats Panaméricains (Queretaro),Queretaro,08-07-2008,Sabre,Women,2008
802,Championnats Panaméricains (Queretaro),Queretaro,08-07-2008,Sabre,Men,2008
738,Championnats d'Europe (Kiev),Kiev,04-07-2008,Epee,Women,2008
739,Championnats d'Europe (Kiev),Kiev,04-07-2008,Epee,Men,2008
740,Championnats d'Europe (Kiev),Kiev,04-07-2008,Foil,Women,2008
741,Championnats d'Europe (Kiev),Kiev,04-07-2008,Foil,Men,2008
742,Championnats d'Europe (Kiev),Kiev,04-07-2008,Sabre,Women,2008
743,Championnats d'Europe (Kiev),Kiev,04-07-2008,Sabre,Men,2008
111,Jockey Club Argentino (Buenos Aires),Buenos Aires,21-06-2008,Epee,Men,2008
130,World Cup competition (Las Vegas),Las Vegas,21-06-2008,Foil,Women,2008
471,Coupe du Monde (Las Vegas),Las Vegas,19-06-2008,Sabre,Women,2008
474,Coupe du Monde (Las Vegas),Las Vegas,21-06-2008,Sabre,Men,2008
106,Coupe du Monde (Cali),Cali,14-06-2008,Epee,Men,2008
146,Copa Gobernador Eduardo Manuitt Carpio (Estado Guarico),Estado Guarico,13-06-2008,Foil,Men,2008
476,Copa Gobernador Eduardo Manuitt Carpio (Estado Guarico),Estado Guarico,13-06-2008,Sabre,Men,2008
131,Tournoi Nancy Uranga (La Havane),La Havane,11-06-2008,Foil,Women,2008
155,Coupe du Monde (La Havane),La Havane,14-06-2008,Sabre,Women,2008
186,Cole Cup (Newcastle),Newcastle,14-06-2008,Sabre,Men,2008
485,Cole Cup (Newcastle),Newcastle,14-06-2008,Sabre,Women,2008
486,Cole Cup (Newcastle),Newcastle,14-06-2008,Epee,Women,2008
555,Cole Cup (Newcastle),Newcastle,14-06-2008,Foil,Women,2008
115,Copa Mundial de Puerto Rico (Caguas),Caguas,06-06-2008,Epee,Men,2008
95,Coupe du Monde (La Havane),La Havane,06-06-2008,Epee,Women,2008
147,Copa Villa La Habana (La Havane),La Havane,08-06-2008,Foil,Men,2008
185,Tournoi satellite sabre masculin (Reykjavik),Reykjavik,07-06-2008,Sabre,Men,2008
484,Tournoi satellite sabre féminin (Reykjavik),Reykjavik,07-06-2008,Sabre,Women,2008
128,Coupe Buenos Aires (Buenos Aires),Buenos Aires,31-05-2008,Foil,Women,2008
105,Epée internationale (Montréal),Montréal,30-05-2008,Epee,Men,2008
451,Epée internationale (Montréal),Montréal,30-05-2008,Epee,Women,2008
463,Epée internationale (Montréal),Montréal,29-05-2008,Foil,Men,2008
163,Trophée Luxardo (Padoue),Padoue,30-05-2008,Sabre,Men,2008
676,Coupe du Monde (Tianjin),Tianjin,30-05-2008,Sabre,Women,2008
184,Tournoi satellite sabre masculin (Helsinki),Helsinki,24-05-2008,Sabre,Men,2008
164,Villa de Madrid (Madrid),Madrid,23-05-2008,Sabre,Men,2008
520,Tournoi satellite epee feminine (Split),Split,24-05-2008,Epee,Women,2008
793,Tournoi satellite (Split),Split,24-05-2008,Epee,Men,2008
121,SK Trophée Séoul (Jéju),Jéju,16-05-2008,Foil,Women,2008
138,SK Trophée Séoul (Jéju),Jéju,17-05-2008,Foil,Men,2008
522,Candidature A (Koblenz),Koblenz,17-05-2008,Sabre,Women,2008
449,Tournoi international (Nankin),Nankin,16-05-2008,Epee,Women,2008
165,Sabre de Wolodyjowski (Varsovie),Varsovie,17-05-2008,Sabre,Men,2008
470,Challenge Yves Brasseur (Gand),Gand,10-05-2008,Sabre,Women,2008
655,Tournoi satellite (Istanbul),Istanbul,10-05-2008,Epee,Women,2008
656,Tournoi satellite (Istanbul),Istanbul,10-05-2008,Epee,Men,2008
104,Challenge Monal (Paris),Paris,10-05-2008,Epee,Men,2008
129,Prince Takamado WC (Tokyo),Tokyo,09-05-2008,Foil,Women,2008
145,Prince Takamado WC (Tokyo),Tokyo,10-05-2008,Foil,Men,2008
413,Coupe du Monde (Bangkok),Bangkok,03-05-2008,Sabre,Men,2008
469,Coupe du Monde (Klagenfurt),Klagenfurt,03-05-2008,Sabre,Women,2008
122,Coupe du Monde (Shanghai),Shanghai,03-05-2008,Foil,Women,2008
139,Coupe du Monde (Shanghai),Shanghai,02-05-2008,Foil,Men,2008
