Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,VICATOS Giselle,590.0,R,TUKU Aphiwe,,L,Won,15,12
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,BABELA Arsenelle,546.0,R,GHRIB Nesrine,101.0,R,Won,15,12
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,MANSOURI Maya,54.0,L,EHAB Nardin,72.0,R,Loss,14,15
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,DESOUKY Nourhan,543.0,R,CARFOOT Tamryn,594.0,R,Won,14,13
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,BARRETT Juliana,66.0,L,GABER Shirwit,107.0,R,Won,15,13
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,BESBES Sarra,2.0,L,VICATOS Giselle,590.0,R,Won,15,9
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,BABELA Arsenelle,546.0,R,EHAB Nardin,72.0,R,Loss,14,15
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,BEN JABALLAH Dorra,104.0,L,DESOUKY Nourhan,543.0,R,Loss,11,15
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,BARRETT Juliana,66.0,L,MAHDY Ayah,74.0,R,Loss,8,9
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,BESBES Sarra,2.0,L,EHAB Nardin,72.0,R,Won,15,6
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,DESOUKY Nourhan,543.0,R,MAHDY Ayah,74.0,R,Loss,9,13
Women,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,BESBES Sarra,2.0,L,MAHDY Ayah,74.0,R,Won,15,3
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,DIALLO Cheikh Omar,,R,KABIKISSA Jelsy-Havel,,R,Won,15,12
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,GOMA LOUKOMBO Epiphane Rodes,,R,GUEYE Sire,,R,Loss,14,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,MANZINI Thulani,127.0,R,TRAORE Nio,,R,Won,15,10
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,HERGINO Ekabela,,R,KADAM Babacar,119.0,L,Loss,7,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,COULIBALY Gaoussou,,R,ALHASSAN SAMBA Abubakari,453.0,R,Won,15,5
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,SEFULARO Keith Manyaneyane,117.0,R,ANTONIO Adilson Jose F.,,R,Loss,11,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,FAYEZ Ayman,15.0,R,DIALLO Cheikh Omar,,R,Won,15,6
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,MADUMA Sello Given,,R,DIABATE Keletigui Julien,937.0,L,Won,15,12
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,SAIF Mohannad,55.0,R,GUEYE Sire,,R,Won,15,4
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,MANZINI Thulani,127.0,R,BUHDEIMA Khaled,,R,Loss,7,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,FAYEZ Sherif,978.0,R,KADAM Babacar,119.0,L,Loss,10,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,COULIBALY Gaoussou,,R,MALULEKE Joseph,158.0,R,Loss,8,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,DIAMONEKA Fach Gaël,,R,GUNPUT Satya,110.0,R,Loss,12,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,ANTONIO Adilson Jose F.,,R,ELSAGHIR Ahmed,,R,Loss,10,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,FAYEZ Ayman,15.0,R,MADUMA Sello Given,,R,Won,15,2
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,SAIF Mohannad,55.0,R,BUHDEIMA Khaled,,R,Won,11,4
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,KADAM Babacar,119.0,L,MALULEKE Joseph,158.0,R,Won,15,12
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,GUNPUT Satya,110.0,R,ELSAGHIR Ahmed,,R,Loss,12,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,FAYEZ Ayman,15.0,R,SAIF Mohannad,55.0,R,Won,15,13
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,KADAM Babacar,119.0,L,ELSAGHIR Ahmed,,R,Loss,6,15
Men,Epee,2015/2016,Jeux africains (Brazaville),02-09-2015,FAYEZ Ayman,15.0,R,ELSAGHIR Ahmed,,R,Loss,5,6
Women,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,BOUBAKRI Ines,7.0,L,KHELFAOUI Louiza,394.0,R,Won,15,3
Women,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,ELSHARKAWY Yara,245.0,L,KHELFAOUI Anissa,25.0,R,Loss,10,15
Women,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,MOHAMED Noura,46.0,R,ELSHARKAWY Hadil,,R,Loss,13,15
Women,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,YASSER Aida,383.0,R,JABRI Haifa,50.0,R,Loss,8,13
Women,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,BOUBAKRI Ines,7.0,L,KHELFAOUI Anissa,25.0,R,Won,15,3
Women,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,ELSHARKAWY Hadil,,R,JABRI Haifa,50.0,R,Loss,6,15
Women,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,BOUBAKRI Ines,7.0,L,JABRI Haifa,50.0,R,Won,15,3
Men,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,DEGBOE Koffi,,R,GAMIELDIEN Faa'Iq,,R,Loss,14,15
Men,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,ABOUELKASSEM Alaaeldin,9.0,L,GAMIELDIEN Faa'Iq,,R,Won,15,3
Men,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,KADAM Babacar,119.0,L,AHMED Marwan,469.0,R,Loss,11,15
Men,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,FERJANI Mohamed Ayoub,,R,METOUI Mohamed Aziz,657.0,R,Won,15,7
Men,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,ANTONIO Adilson Jose F.,,R,MABED Yanis Baptiste,66.0,R,Loss,8,15
Men,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,DJITLI Roman,81.0,R,MADI Youcef,91.0,R,Won,15,6
Men,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,AYAD Tarek,30.0,R,MC GREGOR Robert,,R,Won,15,7
Men,Foil,2015/2016,Jeux africains (Brazaville),02-09-2015,ZIDI Fares,,R,HEROUI Salim,63.0,L,Loss,3,15
