athleteId,hand,rank
1458,L,
1613,L,502.0
1686,R,578.0
2200,R,260.0
2366,R,520.0
2620,R,98.0
2656,L,737.0
2860,R,
3077,R,
3495,L,86.0
3711,R,
4081,R,67.0
4178,R,283.0
4220,L,
4324,R,159.0
4405,R,79.0
4585,L,20.0
4701,R,337.0
4958,R,
5224,L,281.0
5269,L,653.0
5379,R,294.0
5452,R,71.0
5511,L,29.0
5629,L,7.0
5917,R,745.0
5971,R,
6027,R,812.0
6194,R,586.0
6398,R,371.0
6496,R,206.0
6858,R,
7292,R,
7739,R,14.0
8129,R,
8280,,
8609,R,140.0
8793,R,131.0
9182,L,58.0
9309,R,30.0
9377,L,6.0
9460,L,288.0
9641,R,331.0
9744,R,
9846,L,377.0
10070,R,312.0
10207,L,168.0
10286,L,67.0
10402,L,14.0
10688,R,8.0
10786,R,
10861,R,124.0
11034,R,57.0
11293,,
11551,L,147.0
12056,R,254.0
12156,L,
12287,L,179.0
12402,R,476.0
12507,R,12.0
12562,R,40.0
12625,L,13.0
12713,R,120.0
13010,R,205.0
13191,R,260.0
13415,R,89.0
13452,R,17.0
13503,L,44.0
13707,R,28.0
13741,R,4.0
13888,R,52.0
14004,R,185.0
14361,R,756.0
14438,R,194.0
14506,R,162.0
14714,R,35.0
14862,R,
14957,L,76.0
15010,R,969.0
15087,L,8.0
15170,R,
15289,R,96.0
15336,R,202.0
15368,L,87.0
15423,L,
15642,R,
15788,R,825.0
15827,R,
15925,R,90.0
16028,R,
16207,R,110.0
16371,R,192.0
16392,R,
16435,R,85.0
16681,R,
16744,R,187.0
16847,R,400.0
17057,R,87.0
17159,R,269.0
17204,R,52.0
17406,R,371.0
17458,R,34.0
17524,L,87.0
17583,R,311.0
17630,L,81.0
17746,R,
17758,R,207.0
17792,L,
17930,R,142.0
18021,L,23.0
18071,R,28.0
18259,R,265.0
18351,R,693.0
18432,L,
18576,R,84.0
18626,R,194.0
18720,R,276.0
18774,R,149.0
18863,R,249.0
18910,L,
18954,R,282.0
19030,R,78.0
19164,R,
19243,R,45.0
19430,R,
19568,L,
19590,L,200.0
19630,R,38.0
19821,R,4.0
19878,R,2.0
19933,R,79.0
19949,L,
20060,R,191.0
20123,R,154.0
20179,R,16.0
20382,R,104.0
20461,R,253.0
20488,L,1.0
20556,R,109.0
20599,R,
20645,R,
20706,L,
20765,R,
20808,R,423.0
20889,R,161.0
20910,R,212.0
20960,R,77.0
21012,R,437.0
21053,R,210.0
21106,R,153.0
21197,R,
21261,R,
21439,R,264.0
21499,R,25.0
21581,L,62.0
21621,L,30.0
21705,R,101.0
21729,R,73.0
21797,R,907.0
21926,R,79.0
21958,R,7.0
22023,R,33.0
22072,R,101.0
22150,R,
22252,R,25.0
22329,R,
22354,R,340.0
22390,R,128.0
22439,L,1.0
22488,R,40.0
22540,R,133.0
22571,R,748.0
22657,R,57.0
22670,R,
22771,R,167.0
22806,R,212.0
22872,L,
22913,R,208.0
22963,L,25.0
23037,L,137.0
23070,L,
23251,R,170.0
23338,R,220.0
23398,L,23.0
23490,L,
23553,R,380.0
23636,R,
23698,L,322.0
23771,R,130.0
23941,R,
24074,L,68.0
24117,L,48.0
24224,R,
24275,R,231.0
24354,R,
24408,R,14.0
24460,L,5.0
24486,L,122.0
24509,L,912.0
24601,R,93.0
24663,R,630.0
24736,R,
24829,R,217.0
24865,R,
24879,R,
24920,R,7.0
24970,L,25.0
25004,R,358.0
25040,L,80.0
25126,R,
25159,L,208.0
25197,R,33.0
25212,R,13.0
25332,R,
25408,R,202.0
25454,R,51.0
25512,R,243.0
25537,R,
25678,R,
25834,L,66.0
25897,L,308.0
25928,,
25949,R,75.0
25986,L,485.0
26023,R,195.0
26086,L,605.0
26115,R,
26137,L,230.0
26162,R,
26222,L,107.0
26280,R,126.0
26297,R,
26329,R,
26355,L,
26400,R,338.0
26433,R,78.0
26487,R,259.0
26534,R,132.0
26550,L,317.0
26592,R,129.0
26648,R,
26695,L,12.0
26715,L,146.0
26798,R,124.0
26844,R,
26867,L,140.0
26879,R,80.0
26913,R,41.0
26948,R,117.0
26977,R,51.0
27080,L,
27141,R,88.0
27158,L,
27210,R,288.0
27233,R,192.0
27261,R,394.0
27286,L,321.0
27294,L,138.0
27309,R,
27336,R,
27360,R,167.0
27410,R,116.0
27535,R,736.0
27584,R,95.0
27710,R,696.0
27914,L,2.0
27993,L,134.0
28034,R,616.0
28081,R,21.0
28107,R,180.0
28125,L,
28163,R,64.0
28203,R,287.0
28218,L,341.0
28251,R,375.0
28285,R,131.0
28297,R,
28339,R,
28356,R,575.0
28407,R,251.0
28460,R,96.0
28519,R,289.0
28539,R,166.0
28593,R,9.0
28626,R,91.0
28646,R,48.0
28659,R,228.0
28701,R,18.0
28717,R,481.0
28759,R,181.0
28813,R,651.0
28830,R,
28845,R,138.0
28864,R,
28887,R,50.0
28906,R,112.0
28933,R,261.0
28960,R,194.0
29010,R,
29037,R,240.0
29042,L,196.0
29074,R,143.0
29091,R,164.0
29115,L,40.0
29134,R,33.0
29188,L,61.0
29196,L,295.0
29210,R,179.0
29226,R,
29233,R,61.0
29249,R,12.0
29257,R,28.0
29296,R,131.0
29305,R,225.0
29336,R,
29396,R,72.0
29536,R,13.0
29627,L,140.0
29726,R,
29774,L,232.0
29815,R,140.0
29847,,
29891,R,489.0
29925,L,
29961,R,88.0
29975,R,
30019,R,
30039,R,
30064,R,
30080,L,99.0
30088,R,
30105,L,614.0
30140,R,181.0
30167,R,141.0
30222,R,344.0
30271,R,394.0
30294,R,251.0
30326,R,220.0
30382,R,
30418,R,798.0
30489,R,23.0
30506,R,424.0
30534,R,325.0
30562,R,205.0
30579,R,247.0
30608,R,733.0
30627,R,54.0
30642,L,
30696,R,124.0
30759,R,
30796,R,164.0
30820,R,214.0
30838,R,246.0
30874,R,
30885,R,92.0
30901,R,230.0
30930,R,67.0
30948,R,498.0
30971,R,87.0
30991,R,
31008,R,315.0
31023,R,165.0
31036,R,178.0
31043,R,
31058,L,72.0
31094,R,
31102,R,6.0
31108,R,258.0
31120,L,359.0
31148,R,215.0
31155,L,77.0
31164,R,155.0
31234,R,
31279,R,10.0
31300,L,50.0
31332,R,
31344,,
31414,R,
31456,R,555.0
31582,R,164.0
31614,R,
31633,R,
31682,R,48.0
31719,R,
31750,R,
31792,R,390.0
31833,R,
31849,L,172.0
31867,L,250.0
31878,L,300.0
31901,R,
31918,R,67.0
31929,R,261.0
31950,R,350.0
31974,R,192.0
31990,R,263.0
32023,R,229.0
32041,R,299.0
32054,R,662.0
32107,R,
32128,R,699.0
32174,R,43.0
32193,R,
32230,R,318.0
32239,R,229.0
32263,R,402.0
32296,L,385.0
32320,R,293.0
32353,R,544.0
32372,R,
32388,R,
32394,R,317.0
32419,R,406.0
32434,L,57.0
32451,R,108.0
32471,L,245.0
32488,R,199.0
32516,R,275.0
32567,R,224.0
32575,R,226.0
32606,R,244.0
32639,R,
32664,L,
32689,L,317.0
32713,R,265.0
32734,R,437.0
32760,R,
32780,R,394.0
32842,R,318.0
32848,R,145.0
32887,R,
32900,R,
32915,R,582.0
32936,L,258.0
32952,R,537.0
32966,R,333.0
32989,R,55.0
33006,L,143.0
33023,R,562.0
33054,R,279.0
33102,L,2.0
33156,R,184.0
33183,L,74.0
33224,R,555.0
33242,L,
33384,R,263.0
33489,L,
33544,R,316.0
33587,R,267.0
33619,L,448.0
33651,R,239.0
33663,R,42.0
33675,L,332.0
33734,L,280.0
33771,R,74.0
33810,R,438.0
33829,L,628.0
33850,R,250.0
33859,R,191.0
33865,L,229.0
33882,R,974.0
33917,R,201.0
33967,R,502.0
34046,R,120.0
34052,L,
34077,R,632.0
34133,L,197.0
34183,L,247.0
34214,R,301.0
34255,R,419.0
34274,R,343.0
34281,R,327.0
34308,L,701.0
34328,L,256.0
34349,R,
34385,R,8.0
34433,L,45.0
34454,R,359.0
34501,R,246.0
34532,R,154.0
34542,R,392.0
34551,R,264.0
34580,,
34595,R,
34621,R,
34634,L,194.0
34642,R,46.0
34656,R,214.0
34675,L,
34704,R,80.0
34720,R,183.0
34743,L,102.0
34784,L,122.0
34833,R,224.0
34886,R,234.0
34891,R,
34904,R,37.0
34932,R,
34943,R,152.0
34948,R,148.0
34986,L,701.0
35024,R,166.0
35058,R,
35085,R,350.0
35105,R,45.0
35113,L,53.0
35136,R,415.0
35181,R,199.0
35193,R,330.0
35217,L,50.0
35257,R,
35322,R,
35370,R,27.0
35402,R,
35474,R,243.0
35518,R,
35614,R,138.0
35626,L,273.0
35663,R,
35684,R,187.0
35729,L,
35774,R,120.0
35789,R,637.0
35805,R,94.0
35852,L,608.0
35859,R,
35901,R,
35932,R,
35939,R,197.0
35992,R,565.0
36045,R,756.0
36128,R,182.0
36173,R,169.0
36229,R,289.0
36339,R,213.0
36390,R,220.0
36448,R,215.0
36459,R,786.0
36500,L,202.0
36529,R,5.0
36542,R,
36595,R,
36625,R,264.0
36658,R,515.0
36710,L,
36732,R,516.0
36751,L,
36782,R,
36813,R,174.0
36830,R,138.0
36874,R,75.0
36886,L,191.0
36927,R,
36980,R,709.0
37002,R,315.0
37029,R,
37044,L,84.0
37066,R,661.0
37134,L,361.0
37150,R,
37236,R,
37252,R,151.0
37262,R,412.0
37273,R,104.0
37285,R,234.0
37315,R,139.0
37367,R,654.0
37407,R,
37416,R,377.0
37442,R,
37461,R,322.0
37537,R,288.0
37573,R,485.0
37605,R,257.0
37619,L,427.0
37679,R,366.0
37702,L,
37726,R,323.0
37745,R,675.0
37788,L,213.0
37805,R,761.0
37851,R,426.0
37869,R,187.0
37875,L,60.0
37880,L,114.0
37971,R,
38005,R,370.0
38063,L,496.0
38125,R,65.0
38159,R,
38199,R,
38218,L,157.0
38298,R,412.0
38564,R,
38591,R,227.0
38600,R,258.0
38614,L,170.0
38647,R,
38674,R,576.0
38698,R,488.0
38734,R,534.0
38766,R,598.0
38781,R,601.0
38787,R,303.0
38836,R,280.0
38847,R,570.0
38860,R,236.0
38875,R,436.0
38904,R,796.0
38932,R,86.0
38938,R,93.0
38990,R,81.0
39017,R,
39052,R,415.0
39086,R,
39111,R,
39140,R,91.0
39155,R,114.0
39181,L,526.0
39195,R,22.0
39244,R,15.0
39260,R,634.0
39294,R,
39299,R,684.0
39352,L,526.0
39364,R,
39391,L,52.0
39417,R,
39437,R,446.0
39460,R,652.0
39470,R,422.0
39478,R,
39509,L,
39519,R,605.0
39573,L,614.0
39608,L,82.0
39615,R,97.0
39633,R,
40003,R,133.0
40032,R,179.0
40070,R,429.0
40137,R,121.0
40174,R,
40205,L,321.0
40234,L,30.0
40248,R,
40286,R,
40345,R,
40359,R,283.0
40410,R,216.0
40446,R,
40452,R,120.0
40463,R,311.0
40510,R,
40572,R,
40597,R,
40727,R,290.0
40920,R,379.0
40967,R,315.0
41111,L,242.0
41463,R,
41533,L,
41567,L,69.0
41585,R,267.0
41690,R,
41721,R,675.0
41733,R,461.0
41742,R,
41819,L,746.0
41836,R,
41880,R,
41898,R,578.0
41966,R,
41993,R,487.0
42009,R,524.0
42017,R,544.0
42025,R,456.0
42041,R,
42066,L,66.0
42097,R,495.0
42143,R,
42180,R,
42196,R,
42221,R,269.0
42294,R,504.0
42345,L,342.0
42363,L,252.0
42388,R,
42413,R,
42494,R,702.0
42540,R,492.0
42576,R,755.0
42594,R,204.0
42626,R,372.0
42685,R,
42750,R,621.0
42774,R,
42808,R,
42854,R,105.0
42882,R,57.0
42926,R,416.0
42982,R,
43009,L,289.0
