Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
244,A128,KREJCIK Jan,19664,CZE,ROBSON Samuel Elijah,50909,SGP,Won,15,10,R,,R,64.0
244,A128,YEUNG Chi Ka,28163,HKG,KONTOCHRISTOPOULOS Nikolaos,13191,GRE,Won,15,10,R,143.0,R,181.0
244,A128,VAN EGMOND Dirk Jan,26369,NED,REICHETZER Tobias,26867,AUT,Loss,12,15,R,383.0,L,110.0
244,A128,ROBIN Noe,42984,SEN,YUNES Klod,15353,UKR,Loss,7,15,L,57.0,R,114.0
244,A128,CHOI Chun Yin Ryan,31438,HKG,PIRK Akos,51057,SVK,Won,15,9,L,20.0,R,527.0
244,A128,ROSENFELD Roey Eliyahu,37763,ISR,HEROUI Salim,32434,ALG,Won,0,0,R,189.0,L,109.0
244,A128,LAZARENKO Ievgen,52880,UKR,EYUPOGLU Alp,42639,TÜR,Won,15,3,R,271.0,R,214.0
244,A128,MURILLO DIAZ Jorge Eduardo,43031,COL,NIJS Mathieu,46816,BEL,Loss,4,15,R,739.0,L,123.0
244,A128,CHOI Nicholas Edward,20789,HKG,COLGAN Thomas,54582,AUS,Won,15,1,R,55.0,R,881.0
244,A128,CHREN Simon,43733,CZE,NEMETH Andras,28211,HUN,Loss,12,15,R,,R,141.0
244,A128,LEE Kwanghyun,25142,KOR,HATOEL Maor,4324,ISR,Won,15,3,R,32.0,R,357.0
244,A128,ABBAS Ali Fadel,32957,KUW,TOFALIDES Alex,22256,CYP,Loss,9,15,R,235.0,L,70.0
244,A128,GALUASHVILI Lasha,35233,GEO,KORKMAZ Alp Tuna,52676,TÜR,Won,15,12,R,,R,872.0
244,A128,UGULAVA Archil,24895,GEO,RZADKOWSKI Andrzej,30289,POL,Loss,6,15,R,,R,102.0
244,A128,BRICENO Jose,46528,VEN,PRATS Mathieu Cheickh Jaques,55859,MLI,Loss,9,15,R,898.0,R,99.0
244,A128,LEAL Antonio J.,13949,VEN,MARINO Nicolas,39515,ARG,Loss,6,15,R,488.0,L,139.0
244,A128,ALARCON Leopoldo,42942,CHI,RAJSKI Leszek,5452,POL,Loss,11,15,L,47.0,R,42.0
244,A128,CUK Veljko,40915,SRB,TZOVANIS Artemios,52782,GRE,Won,15,10,R,87.0,R,
244,A128,SADULLAEV Doniyor,34986,UZB,ABU TOUQ Faris,57963,JOR,Won,15,6,L,365.0,R,
244,A128,AGUIRRE Cesar,28906,VEN,ALKIS Can,51630,TÜR,Won,15,11,R,317.0,R,229.0
244,A128,MION Lorenzo,48579,BRA,HAMILTON Bogdan,51136,CAN,Loss,14,15,R,258.0,R,59.0
244,A128,CERQUETTI Dante Leonel,43104,ARG,HEO Jun,16436,KOR,Loss,13,15,R,,R,
244,A128,CHEN Chih Chieh,43300,TPE,OSPINA LADRON DE GUEVARA David,42929,COL,Won,15,9,R,78.0,R,151.0
244,A128,VARGAS ESCOBAR Tomas,42455,COL,ALVARES DE OLIVEIRA Victor,51538,CPV,Loss,5,15,R,227.0,R,52.0
244,A128,NIGOSANTI Andrea,52580,ARG,PADUA Carlos M.,34666,PUR,Won,15,11,R,86.0,R,121.0
244,A128,SOLIKHOJIEV Akhmadillokhon,46424,UZB,KHALIFA Abdalla,46682,QAT,Loss,10,15,R,420.0,R,335.0
244,A128,ETTELT Maximilian,26869,AUT,MACEDO Luis,42924,POR,Won,15,12,R,179.0,L,376.0
