Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
244,A64,MARINI Tommaso,41142,ITA,,0,,Loss,0,0
244,A64,SCHEMBRI Kruz,53653,ISV,BROSZUS Blake,39391,CAN,Loss,8,15
244,A64,PAUTY Maxime,25513,FRA,,0,,Loss,0,0
244,A64,SHIKINE Takahiro,31919,JPN,,0,,Loss,0,0
244,A64,IIMURA Kazuki,46543,JPN,,0,,Loss,0,0
244,A64,ABOUELKASSEM Alaaeldin,18031,EGY,,0,,Loss,0,0
244,A64,KERYHUEL Jeremy Fafa,42585,CIV,,0,,Loss,0,0
244,A64,MASSIALAS Alexander,21958,USA,,0,,Loss,0,0
244,A64,LEFORT Enzo,22555,FRA,,0,,Loss,0,0
244,A64,WAKIM Philippe,50703,LBN,CHEN Yi-Tung,43301,TPE,Loss,13,15
244,A64,CHEN Haiwei,32250,CHN,,0,,Loss,0,0
244,A64,MEINHARDT Gerek,14397,USA,,0,,Loss,0,0
244,A64,MO Ziwei,40236,CHN,,0,,Loss,0,0
244,A64,TOLDO Guilherme,22963,BRA,,0,,Loss,0,0
244,A64,ALVARES DE OLIVEIRA Victor,51538,CPV,GU Daniel,31660,CAN,Loss,9,15
244,A64,CHEUNG Ka Long,30878,HKG,,0,,Loss,0,0
244,A64,HAMZA Mohamed,37194,EGY,,0,,Loss,0,0
244,A64,HEROUI Salim,32434,ALG,JURKIEWICZ Jan,40486,POL,Loss,8,15
244,A64,HA Taegyu,18861,KOR,,0,,Loss,0,0
244,A64,LLAVADOR Carlos,21966,ESP,,0,,Loss,0,0
244,A64,MACCHI Filippo,45453,ITA,,0,,Loss,0,0
244,A64,XU Jie,43549,CHN,,0,,Loss,0,0
244,A64,MERTINE Julien,17449,FRA,,0,,Loss,0,0
244,A64,MATSUYAMA Kyosuke,29076,JPN,,0,,Loss,0,0
244,A64,CHOUPENITCH Alexander,21765,CZE,,0,,Loss,0,0
244,A64,SIESS Michal,28616,POL,,0,,Loss,0,0
244,A64,VAN HAASTER Maximilien,17929,CAN,,0,,Loss,0,0
244,A64,BIANCHI Guillaume,32275,ITA,,0,,Loss,0,0
244,A64,DOSA Daniel,29031,HUN,,0,,Loss,0,0
244,A64,TOLBA Abdelrahman Hussein,52953,EGY,,0,,Loss,0,0
244,A64,WOJTKOWIAK Adrian,33646,POL,TOFALIDES Alex,22256,CYP,Loss,10,15
244,A64,ITKIN Nick,36441,USA,,0,,Loss,0,0
244,A32,MARINI Tommaso,41142,ITA,BROSZUS Blake,39391,CAN,Won,15,9
