Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,BERAN Jiri,22.0,R,SCHWANTES Athos,236.0,R,Loss,6,8
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,FERREIRA Nicolas,348.0,R,LIMARDO Francisco,59.0,R,Loss,9,15
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,RODRIGUEZ John Edison,34.0,L,KARYUCHENKO Dmytro,211.0,R,Won,15,7
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,MELARAGNO Guilherme,,R,JIAO Yunlong,,R,Loss,13,15
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,REDLI Andras,19.0,R,ALSHATTI Abdulaziz,170.0,R,Won,14,13
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,JUNG Jinsun,9.0,R,FERNANDEZ Silvio,,R,Won,15,8
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,GRUMIER Gauthier,,L,SCHWANTES Athos,236.0,R,Won,15,7
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,LIMARDO GASCON Ruben,8.0,L,FAYEZ Ayman,35.0,R,Loss,5,15
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,MINOBE Kazuyasu,16.0,L,FICHERA Marco,4.0,R,Won,15,8
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,AVDEEV Anton,,L,VERWIJLEN Bas,43.0,R,Won,15,9
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,JERENT Daniel,7.0,R,LIMARDO Francisco,59.0,R,Loss,14,15
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,NOVOSJOLOV Nikolai,3.0,R,PARK Kyoungdoo,5.0,R,Won,12,10
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,BOCZKO Gabor,,R,BOUZAID Alexandre,36.0,L,Won,15,9
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,RODRIGUEZ John Edison,34.0,L,IMRE Geza,,L,Loss,8,15
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,NIKISHIN Bogdan,10.0,R,JIAO Yunlong,,R,Won,15,11
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,PRYOR Jason,60.0,R,STEFFEN Benjamin,55.0,L,Loss,14,15
Men,Epee,2016/2017,Jeux Olympiques (Rio de Janeiro),09-08-2016,KAUTER Fabian,201.0,R,HEREY Anatolii,42.0,R,Won,15,9
