Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
1091,A128,Gerelmaa BAATARCHULUUN,33193,MGL,Tik Lam Debbie HO,32966,HKG,Loss,7,15,R,601.0,R,631.0
1091,A128,Marilyne PLANTE,32940,CAN,Yuliya SVYSTIL,29949,UKR,Loss,9,15,L,665.0,R,141.0
1091,A128,Hui Min LIN,33224,TPE,Ingrid URSULET,32176,FRA,Won,15,12,R,502.0,R,305.0
1091,A64,Marta FERRARI,15411,ITA,Tik Lam Debbie HO,32966,HKG,Won,15,5,R,54.0,R,631.0
1091,A64,Nadine STAHLBERG,28521,GER,Alexandra LOUIS MARIE,32174,FRA,Won,15,13,R,166.0,R,250.0
1091,A64,Michaela KOCK,19869,FIN,Kata MIHALY,19595,HUN,Loss,14,15,R,220.0,R,164.0
1091,A64,Anna SALMINEN,25895,FIN,Myoungsun KIM,26282,KOR,Loss,12,15,R,190.0,R,
1091,A64,Roberta MARZANI,28741,ITA,Kabita DEVI,22771,IND,Won,15,4,L,98.0,R,515.0
1091,A64,Laura SZABO,28317,HUN,Anna VAN BRUMMEN,26304,USA,Loss,7,15,R,399.0,R,209.0
1091,A64,Honami SUZUKI,26548,JPN,Kim Jasmin BUECH,29773,SUI,Loss,13,15,R,268.0,L,291.0
1091,A64,Ebba KARLSSON,28830,SWE,Alice CLERICI,29962,ITA,Loss,8,15,R,212.0,R,67.0
1091,A64,Asa LINDE,29653,SWE,Vera Maia Devi KANEVSKI,32570,ISR,Won,15,10,R,128.0,R,604.0
1091,A64,Ulyana BALAGANSKAYA,28698,KAZ,Anna HORNISCHER,32167,GER,Won,15,7,R,93.0,L,189.0
1091,A64,Noemi MOESCHLIN,33663,SUI,Laura STAEHLI,17514,SUI,Loss,11,15,R,102.0,R,18.0
1091,A64,Violetta KHRAPINA,27238,RUS,Yulia LICHAGINA,25206,RUS,Won,5,3,L,138.0,R,
1091,A64,Martyna SWATOWSKA,25947,POL,Anu HARK,26400,EST,Won,15,11,L,198.0,R,677.0
1091,A64,Dzhoan Feybi BEZHURA,21484,UKR,Katharine HOLMES,22023,USA,Won,15,13,R,34.0,R,33.0
