athleteId,hand,rank
1455,L,87.0
1660,R,345.0
2224,R,48.0
2601,R,423.0
2636,R,167.0
2860,R,75.0
3149,R,317.0
3629,R,30.0
3915,R,593.0
4119,R,157.0
4212,R,118.0
4324,R,192.0
4464,R,6.0
4817,L,79.0
5224,L,531.0
5272,R,554.0
5443,L,96.0
5511,L,16.0
5721,R,89.0
5861,L,129.0
6027,R,587.0
6405,R,315.0
6496,R,251.0
7227,R,92.0
8025,R,
8284,L,11.0
8745,R,54.0
9122,L,8.0
9248,R,4.0
9367,R,73.0
9397,R,498.0
9555,R,452.0
9727,R,667.0
9871,R,86.0
10109,L,144.0
10222,L,11.0
10379,R,28.0
10547,R,138.0
10773,R,
11021,R,186.0
11119,R,
11551,L,154.0
12056,R,145.0
12187,R,275.0
12269,R,12.0
12402,R,425.0
12529,R,59.0
12590,R,
12626,R,48.0
12713,R,132.0
13138,R,
13391,R,191.0
13436,R,49.0
13577,R,457.0
13709,R,60.0
13869,R,51.0
14438,R,224.0
14543,R,343.0
14715,R,261.0
14935,R,
15087,L,12.0
15170,R,211.0
15289,R,111.0
15351,R,117.0
15375,R,14.0
15567,R,361.0
15796,R,87.0
15941,R,600.0
16054,R,
16371,R,278.0
16435,R,119.0
16779,R,84.0
17159,R,340.0
17227,R,123.0
17421,R,558.0
17461,R,527.0
17524,L,94.0
17600,R,127.0
17706,L,34.0
17761,R,231.0
17929,R,47.0
18023,R,144.0
18351,R,720.0
18576,R,94.0
18683,R,79.0
18732,R,75.0
18876,R,11.0
18949,R,16.0
18996,R,102.0
19216,R,126.0
19574,L,172.0
19604,L,28.0
19820,R,20.0
19917,R,176.0
19985,R,55.0
20135,R,114.0
20246,R,132.0
20450,R,15.0
20483,R,169.0
20521,R,559.0
20593,R,376.0
20685,R,
20782,L,168.0
20884,L,360.0
20938,R,27.0
21017,R,129.0
21179,L,284.0
21261,R,234.0
21484,R,79.0
21584,L,46.0
21667,R,275.0
21717,R,2.0
21767,R,116.0
21958,R,8.0
22023,R,24.0
22234,R,597.0
22285,R,17.0
22353,R,183.0
22401,R,159.0
22454,R,664.0
22540,R,161.0
22571,R,715.0
22660,L,115.0
22831,R,53.0
22963,L,22.0
23037,L,134.0
23251,R,160.0
23342,L,362.0
23550,R,285.0
23698,L,155.0
23807,R,802.0
