Competition ID,Competition Name,Location,Start Date,Weapon,Gender,Season
469,Coupe du Monde (Athènes),Athènes,06-03-2020,Sabre,Women,2020
112,WESTEND Grand Prix (Budapest),Budapest,06-03-2020,Epee,Men,2020
449,WESTEND Grand Prix (Budapest),Budapest,06-03-2020,Epee,Women,2020
156,Coupe du Monde (Luxembourg),Luxembourg,06-03-2020,Sabre,Men,2020
129,Coupe du Monde (Kazan),Kazan,21-02-2020,Foil,Women,2020
138,Coupe du Monde (Le Caire),Le Caire,21-02-2020,Foil,Men,2020
163,Coupe du Monde Dates (Varsovie),Varsovie,21-02-2020,Sabre,Men,2020
85,Coupe du Monde  (Barcelone),Barcelone,07-02-2020,Epee,Women,2020
134,Grand Prix (Turin),Turin,07-02-2020,Foil,Men,2020
458,Grand Prix (Turin),Turin,07-02-2020,Foil,Women,2020
98,Coupe du Monde (Vancouver),Vancouver,07-02-2020,Epee,Men,2020
79,Grand Prix du Qatar (Doha),Doha,24-01-2020,Epee,Women,2020
387,Grand Prix du Qatar (Doha),Doha,24-01-2020,Epee,Men,2020
108,Coupe du Monde (Heidenheim),Heidenheim,09-01-2020,Epee,Men,2020
127,Coupe du Monde (Katowice),Katowice,10-01-2020,Foil,Women,2020
97,Coupe du Monde (La Havane),La Havane,10-01-2020,Epee,Women,2020
152,Sabre Grand Prix (Montreal),Montreal,10-01-2020,Sabre,Women,2020
158,Sabre Grand Prix (Montreal),Montreal,10-01-2020,Sabre,Men,2020
142,Coupe du Monde (Paris),Paris,10-01-2020,Foil,Men,2020
118,Coupe du Monde (Saint-Maur),Saint-Maur,13-12-2019,Foil,Women,2020
470,2020 Absolute Fencing Gear FIE Women's Sabre World (Salt Lake City ),Salt Lake City ,13-12-2019,Sabre,Women,2020
137,World Cup and test event (Tokyo),Tokyo,13-12-2019,Foil,Men,2020
385,Coupe du Monde (Berne),Berne,22-11-2019,Epee,Men,2020
125,Coupe du monde (Le Caire),Le Caire,22-11-2019,Foil,Women,2020
467,Coupe du Monde (Orléans),Orléans,22-11-2019,Sabre,Women,2020
164, Coupe du monde (Le Caire),Le Caire,15-11-2019,Sabre,Men,2020
135,Coupe du Monde (Bonn),Bonn,08-11-2019,Foil,Men,2020
80,Coupe du Monde (Tallin),Tallin,01-11-2019,Epee,Women,2020
1385,Tournoi satellite (Barcelone),Barcelone,26-10-2019,Foil,Women,2020
1387,Tournoi Satellite (Barcelone),Barcelone,26-10-2019,Foil,Men,2020
1022,Tournoi satellite (Dublin),Dublin,26-10-2019,Epee,Men,2020
1389,Tournoi Satelite (Maalot),Maalot,26-10-2019,Epee,Women,2020
185,Tournoi satellite (Tbilisi),Tbilisi,26-10-2019,Sabre,Men,2020
1279,Tournoi satellite (Tbilisi),Tbilisi,26-10-2019,Sabre,Women,2020
1227,Tournoi satellite (Antalya),Antalya,20-10-2019,Sabre,Women,2020
1377,Tournoi Satelite (Antalya),Antalya,19-10-2019,Foil,Women,2020
394,Tournoi satellite (San-Jose),San-Jose,20-10-2019,Epee,Men,2020
1388,Tournoi Satellite (San-Jose),San-Jose,19-10-2019,Epee,Women,2020
1331,Tournoi Satelite (Zagreb),Zagreb,19-10-2019,Foil,Men,2020
176,Tournoi Satellite (Split),Split,13-10-2019,Epee,Men,2020
520,Tournoi satellite (Split),Split,12-10-2019,Epee,Women,2020
1280,"Tournoi Satellite, Trekanten International (Copenhague)",Copenhague,05-10-2019,Foil,Men,2020
1356,"Tournoi Satellite, Trekanten International (Copenhague)",Copenhague,06-10-2019,Foil,Women,2020
553,Tournoi satellite (Genève),Genève,06-10-2019,Epee,Women,2020
554,Tournoi Satelite (Genève),Genève,05-10-2019,Epee,Men,2020
486,Tournoi Satellite (Oslo),Oslo,06-10-2019,Epee,Women,2020
656,Tournoi satellite  (Oslo),Oslo,05-10-2019,Epee,Men,2020
186,Tournoi Satellite (Reykjavik),Reykjavik,06-10-2019,Sabre,Men,2020
484,Tournoi satellite (Reykjavik),Reykjavik,05-10-2019,Sabre,Women,2020
184,Tournoi satellite (Gand),Gand,29-09-2019,Sabre,Men,2020
485,Tournoi satellite (Gand),Gand,29-09-2019,Sabre,Women,2020
1219,Tournoi satellite (Mexico City),Mexico City,29-09-2019,Foil,Men,2020
1281,Tournoi Satellite (Mexico City),Mexico City,29-09-2019,Foil,Women,2020
393,Tournoi Satellite (Turku),Turku,28-09-2019,Epee,Women,2020
796,Tournoi Satellite (Turku),Turku,28-09-2019,Epee,Men,2020
398,Tournoi satellite (Bucarest),Bucarest,21-09-2019,Foil,Men,2020
1230,Tournoi satellite (Bucarest),Bucarest,22-09-2019,Foil,Women,2020
172,Tournoi satellite (Plovdiv),Plovdiv,21-09-2019,Sabre,Men,2020
1319,Tournoi satellite (Plovdiv),Plovdiv,22-09-2019,Sabre,Women,2020
171,Tournoi Satellite (Stockholm),Stockholm,21-09-2019,Epee,Men,2020
