Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
241,A128,MUMM Emelie,26800,SWE,PAWLOWSKA Magdalena,25986,POL,Loss,12,15,R,257.0,L,65.0
241,A128,KORNEEVA Arina,53377,GEO,RAMIREZ PEGUERO Violeta,10207,DOM,Loss,13,15,L,206.0,L,190.0
241,A128,SCHMIDL Paula,28728,AUT,DIONGUE Ndeye Binta,19243,SEN,Won,15,11,R,261.0,R,106.0
241,A128,KOH Elle Meihui,54369,SGP,JONAS Anna,32230,GER,Won,15,11,L,114.0,R,215.0
241,A128,BROVKO Inna,29945,UKR,LIXANDRU Nicole,48866,ESP,Won,15,9,L,80.0,R,310.0
241,A128,CORREIA Mariana,54932,BRA,HECHT Dar,34584,ISR,Loss,8,15,R,,R,130.0
241,A128,RAKHIMOVA Sevara,43309,UZB,ZUBAYDULLOEVA Marjona,43312,UZB,Won,15,11,L,139.0,R,424.0
241,A128,POURRAHMATI Mahsaossadat,25909,IRI,BAKHTI Azam,25332,IRI,Loss,10,11,L,,R,
241,A128,JUKIC Paula,31295,CRO,ABOU JAOUDEH Rita,25627,LBN,Won,15,11,R,255.0,R,745.0
241,A128,BULTYNCK Anne,43730,BEL,MASALO Olivija,39189,LTU,Loss,9,15,R,373.0,R,196.0
241,A128,MAVRIKIOU Irina,42158,CYP,HUSSEIN Aya,48884,EGY,Loss,14,15,L,265.0,R,45.0
241,A128,HUZAYEN Lma,40058,EGY,VAINBERG Sophia,48501,ISR,Loss,10,15,R,759.0,R,147.0
241,A128,MOESCHLIN Noemi,33663,SUI,GILKES Sanojah,51489,BAR,Won,15,9,R,163.0,R,182.0
241,A128,VASQUEZ Paula,52107,CHI,PYTKA Kamila,25928,POL,Loss,6,15,R,240.0,L,43.0
241,A128,NIKOLAICHUK Sofiya,42932,KAZ,KUROKI Yume,34183,JPN,Won,15,13,L,94.0,L,207.0
241,A128,ROJKOVA Veronika,37912,UZB,PETKOVIC Lara,32566,CRO,Won,15,7,R,,R,644.0
241,A128,ENGDAHL Sophie,35404,SWE,FERNANDEZ CALLEJA Sara,26147,ESP,Loss,7,15,R,263.0,R,87.0
241,A128,GARCIA AZUA Barbara,10997,CHI,GUNAC Gokce,10760,TUR,Loss,7,15,L,,R,634.0
241,A128,WETZKER Laura Katalin,49379,GER,LAWSON Danielle,34214,GBR,Won,15,12,R,134.0,R,301.0
241,A128,FEYGIN Nicole,43159,ISR,REUMUELLER Martina,1595,AUT,Won,15,11,L,115.0,R,
241,A128,SMITH TAYLOR Katrina,26534,GBR,BENEA Bianca,32982,ROU,Loss,10,15,R,214.0,R,103.0
241,A128,DYNER Karina,40003,CRC,WASHINGTON Isis,28656,USA,Loss,12,15,R,66.0,R,44.0
241,A128,POGHOSOVA Emma,30255,ARM,MULLEN Alisha,42197,IRL,Loss,14,15,R,,R,570.0
241,A128,ARORA Ena,36595,IND,MURZATAEVA Dilnaz,53512,UZB,Loss,12,15,R,167.0,R,143.0
241,A128,VIZEU Victoria,45940,BRA,NING Emma,54721,CAN,Loss,13,15,R,78.0,R,334.0
241,A128,NOR ANUAR Filzah Hidayah Binte,49968,SGP,GABER Shirwit,34915,EGY,Loss,7,13,R,168.0,R,73.0
241,A128,ALVIM Maria,46745,POR,ROMEO Virginia,45348,SUI,Loss,8,9,R,173.0,R,200.0
241,A128,EL KORD Camilia,49297,MAR,VUORINEN Anna,34282,FIN,Won,15,11,R,102.0,R,194.0
